Back to Contents,Data 1: Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
Sourcekey,RNGWHHD
Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
1997-06-30 00:00:00,2.49
1998-06-30 00:00:00,2.09
1999-06-30 00:00:00,2.27
2000-06-30 00:00:00,4.31
2001-06-30 00:00:00,3.96
2002-06-30 00:00:00,3.38
2003-06-30 00:00:00,5.47
2004-06-30 00:00:00,5.89
2005-06-30 00:00:00,8.69
2006-06-30 00:00:00,6.73
2007-06-30 00:00:00,6.97
2008-06-30 00:00:00,8.86
2009-06-30 00:00:00,3.94
2010-06-30 00:00:00,4.37
2011-06-30 00:00:00,4
2012-06-30 00:00:00,2.75
2013-06-30 00:00:00,3.73
2014-06-30 00:00:00,4.37
2015-06-30 00:00:00,2.62
2016-06-30 00:00:00,2.52
2017-06-30 00:00:00,2.99
2018-06-30 00:00:00,3.15
