Back to Contents,Data 1: Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
Sourcekey,RNGWHHD
Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
1997-01-15 00:00:00,3.45
1997-02-15 00:00:00,2.15
1997-03-15 00:00:00,1.89
1997-04-15 00:00:00,2.03
1997-05-15 00:00:00,2.25
1997-06-15 00:00:00,2.2
1997-07-15 00:00:00,2.19
1997-08-15 00:00:00,2.49
1997-09-15 00:00:00,2.88
1997-10-15 00:00:00,3.07
1997-11-15 00:00:00,3.01
1997-12-15 00:00:00,2.35
1998-01-15 00:00:00,2.09
1998-02-15 00:00:00,2.23
1998-03-15 00:00:00,2.24
1998-04-15 00:00:00,2.43
1998-05-15 00:00:00,2.14
1998-06-15 00:00:00,2.17
1998-07-15 00:00:00,2.17
1998-08-15 00:00:00,1.85
1998-09-15 00:00:00,2.02
1998-10-15 00:00:00,1.91
1998-11-15 00:00:00,2.12
1998-12-15 00:00:00,1.72
1999-01-15 00:00:00,1.85
1999-02-15 00:00:00,1.77
1999-03-15 00:00:00,1.79
1999-04-15 00:00:00,2.15
1999-05-15 00:00:00,2.26
1999-06-15 00:00:00,2.3
1999-07-15 00:00:00,2.31
1999-08-15 00:00:00,2.8
1999-09-15 00:00:00,2.55
1999-10-15 00:00:00,2.73
1999-11-15 00:00:00,2.37
1999-12-15 00:00:00,2.36
2000-01-15 00:00:00,2.42
2000-02-15 00:00:00,2.66
2000-03-15 00:00:00,2.79
2000-04-15 00:00:00,3.04
2000-05-15 00:00:00,3.59
2000-06-15 00:00:00,4.29
2000-07-15 00:00:00,3.99
2000-08-15 00:00:00,4.43
2000-09-15 00:00:00,5.06
2000-10-15 00:00:00,5.02
2000-11-15 00:00:00,5.52
2000-12-15 00:00:00,8.9
2001-01-15 00:00:00,8.17
2001-02-15 00:00:00,5.61
2001-03-15 00:00:00,5.23
2001-04-15 00:00:00,5.19
2001-05-15 00:00:00,4.19
2001-06-15 00:00:00,3.72
2001-07-15 00:00:00,3.11
2001-08-15 00:00:00,2.97
2001-09-15 00:00:00,2.19
2001-10-15 00:00:00,2.46
2001-11-15 00:00:00,2.34
2001-12-15 00:00:00,2.3
2002-01-15 00:00:00,2.32
2002-02-15 00:00:00,2.32
2002-03-15 00:00:00,3.03
2002-04-15 00:00:00,3.43
2002-05-15 00:00:00,3.5
2002-06-15 00:00:00,3.26
2002-07-15 00:00:00,2.99
2002-08-15 00:00:00,3.09
2002-09-15 00:00:00,3.55
2002-10-15 00:00:00,4.13
2002-11-15 00:00:00,4.04
2002-12-15 00:00:00,4.74
2003-01-15 00:00:00,5.43
2003-02-15 00:00:00,7.71
2003-03-15 00:00:00,5.93
2003-04-15 00:00:00,5.26
2003-05-15 00:00:00,5.81
2003-06-15 00:00:00,5.82
2003-07-15 00:00:00,5.03
2003-08-15 00:00:00,4.99
2003-09-15 00:00:00,4.62
2003-10-15 00:00:00,4.63
2003-11-15 00:00:00,4.47
2003-12-15 00:00:00,6.13
2004-01-15 00:00:00,6.14
2004-02-15 00:00:00,5.37
2004-03-15 00:00:00,5.39
2004-04-15 00:00:00,5.71
2004-05-15 00:00:00,6.33
2004-06-15 00:00:00,6.27
2004-07-15 00:00:00,5.93
2004-08-15 00:00:00,5.41
2004-09-15 00:00:00,5.15
2004-10-15 00:00:00,6.35
2004-11-15 00:00:00,6.17
2004-12-15 00:00:00,6.58
2005-01-15 00:00:00,6.15
2005-02-15 00:00:00,6.14
2005-03-15 00:00:00,6.96
2005-04-15 00:00:00,7.16
2005-05-15 00:00:00,6.47
2005-06-15 00:00:00,7.18
2005-07-15 00:00:00,7.63
2005-08-15 00:00:00,9.53
2005-09-15 00:00:00,11.75
2005-10-15 00:00:00,13.42
2005-11-15 00:00:00,10.3
2005-12-15 00:00:00,13.05
2006-01-15 00:00:00,8.69
2006-02-15 00:00:00,7.54
2006-03-15 00:00:00,6.89
2006-04-15 00:00:00,7.16
2006-05-15 00:00:00,6.25
2006-06-15 00:00:00,6.21
2006-07-15 00:00:00,6.17
2006-08-15 00:00:00,7.14
2006-09-15 00:00:00,4.9
2006-10-15 00:00:00,5.85
2006-11-15 00:00:00,7.41
2006-12-15 00:00:00,6.73
2007-01-15 00:00:00,6.55
2007-02-15 00:00:00,8
2007-03-15 00:00:00,7.11
2007-04-15 00:00:00,7.6
2007-05-15 00:00:00,7.64
2007-06-15 00:00:00,7.35
2007-07-15 00:00:00,6.22
2007-08-15 00:00:00,6.22
2007-09-15 00:00:00,6.08
2007-10-15 00:00:00,6.74
2007-11-15 00:00:00,7.1
2007-12-15 00:00:00,7.11
2008-01-15 00:00:00,7.99
2008-02-15 00:00:00,8.54
2008-03-15 00:00:00,9.41
2008-04-15 00:00:00,10.18
2008-05-15 00:00:00,11.27
2008-06-15 00:00:00,12.69
2008-07-15 00:00:00,11.09
2008-08-15 00:00:00,8.26
2008-09-15 00:00:00,7.67
2008-10-15 00:00:00,6.74
2008-11-15 00:00:00,6.68
2008-12-15 00:00:00,5.82
2009-01-15 00:00:00,5.24
2009-02-15 00:00:00,4.52
2009-03-15 00:00:00,3.96
2009-04-15 00:00:00,3.5
2009-05-15 00:00:00,3.83
2009-06-15 00:00:00,3.8
2009-07-15 00:00:00,3.38
2009-08-15 00:00:00,3.14
2009-09-15 00:00:00,2.99
2009-10-15 00:00:00,4.01
2009-11-15 00:00:00,3.66
2009-12-15 00:00:00,5.35
2010-01-15 00:00:00,5.83
2010-02-15 00:00:00,5.32
2010-03-15 00:00:00,4.29
2010-04-15 00:00:00,4.03
2010-05-15 00:00:00,4.14
2010-06-15 00:00:00,4.8
2010-07-15 00:00:00,4.63
2010-08-15 00:00:00,4.32
2010-09-15 00:00:00,3.89
2010-10-15 00:00:00,3.43
2010-11-15 00:00:00,3.71
2010-12-15 00:00:00,4.25
2011-01-15 00:00:00,4.49
2011-02-15 00:00:00,4.09
2011-03-15 00:00:00,3.97
2011-04-15 00:00:00,4.24
2011-05-15 00:00:00,4.31
2011-06-15 00:00:00,4.54
2011-07-15 00:00:00,4.42
2011-08-15 00:00:00,4.06
2011-09-15 00:00:00,3.9
2011-10-15 00:00:00,3.57
2011-11-15 00:00:00,3.24
2011-12-15 00:00:00,3.17
2012-01-15 00:00:00,2.67
2012-02-15 00:00:00,2.51
2012-03-15 00:00:00,2.17
2012-04-15 00:00:00,1.95
2012-05-15 00:00:00,2.43
2012-06-15 00:00:00,2.46
2012-07-15 00:00:00,2.95
2012-08-15 00:00:00,2.84
2012-09-15 00:00:00,2.85
2012-10-15 00:00:00,3.32
2012-11-15 00:00:00,3.54
2012-12-15 00:00:00,3.34
2013-01-15 00:00:00,3.33
2013-02-15 00:00:00,3.33
2013-03-15 00:00:00,3.81
2013-04-15 00:00:00,4.17
2013-05-15 00:00:00,4.04
2013-06-15 00:00:00,3.83
2013-07-15 00:00:00,3.62
2013-08-15 00:00:00,3.43
2013-09-15 00:00:00,3.62
2013-10-15 00:00:00,3.68
2013-11-15 00:00:00,3.64
2013-12-15 00:00:00,4.24
2014-01-15 00:00:00,4.71
2014-02-15 00:00:00,6
2014-03-15 00:00:00,4.9
2014-04-15 00:00:00,4.66
2014-05-15 00:00:00,4.58
2014-06-15 00:00:00,4.59
2014-07-15 00:00:00,4.05
2014-08-15 00:00:00,3.91
2014-09-15 00:00:00,3.92
2014-10-15 00:00:00,3.78
2014-11-15 00:00:00,4.12
2014-12-15 00:00:00,3.48
2015-01-15 00:00:00,2.99
2015-02-15 00:00:00,2.87
2015-03-15 00:00:00,2.83
2015-04-15 00:00:00,2.61
2015-05-15 00:00:00,2.85
2015-06-15 00:00:00,2.78
2015-07-15 00:00:00,2.84
2015-08-15 00:00:00,2.77
2015-09-15 00:00:00,2.66
2015-10-15 00:00:00,2.34
2015-11-15 00:00:00,2.09
2015-12-15 00:00:00,1.93
2016-01-15 00:00:00,2.28
2016-02-15 00:00:00,1.99
2016-03-15 00:00:00,1.73
2016-04-15 00:00:00,1.92
2016-05-15 00:00:00,1.92
2016-06-15 00:00:00,2.59
2016-07-15 00:00:00,2.82
2016-08-15 00:00:00,2.82
2016-09-15 00:00:00,2.99
2016-10-15 00:00:00,2.98
2016-11-15 00:00:00,2.55
2016-12-15 00:00:00,3.59
2017-01-15 00:00:00,3.3
2017-02-15 00:00:00,2.85
2017-03-15 00:00:00,2.88
2017-04-15 00:00:00,3.1
2017-05-15 00:00:00,3.15
2017-06-15 00:00:00,2.98
2017-07-15 00:00:00,2.98
2017-08-15 00:00:00,2.9
2017-09-15 00:00:00,2.98
2017-10-15 00:00:00,2.88
2017-11-15 00:00:00,3.01
2017-12-15 00:00:00,2.82
2018-01-15 00:00:00,3.87
2018-02-15 00:00:00,2.67
2018-03-15 00:00:00,2.69
2018-04-15 00:00:00,2.8
2018-05-15 00:00:00,2.8
2018-06-15 00:00:00,2.97
2018-07-15 00:00:00,2.83
2018-08-15 00:00:00,2.96
2018-09-15 00:00:00,3
2018-10-15 00:00:00,3.28
2018-11-15 00:00:00,4.09
2018-12-15 00:00:00,4.04
2019-01-15 00:00:00,3.11
2019-02-15 00:00:00,2.69
2019-03-15 00:00:00,2.95
2019-04-15 00:00:00,2.65
2019-05-15 00:00:00,2.64
2019-06-15 00:00:00,2.4
2019-07-15 00:00:00,2.37
2019-08-15 00:00:00,2.22
2019-09-15 00:00:00,2.56
2019-10-15 00:00:00,2.33
2019-11-15 00:00:00,2.65
2019-12-15 00:00:00,2.22
