Back to Contents,Data 1: Weekly Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
Sourcekey,RNGWHHD
Date,Weekly Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
1997-01-10 00:00:00,3.79
1997-01-17 00:00:00,4.19
1997-01-24 00:00:00,2.98
1997-01-31 00:00:00,2.91
1997-02-07 00:00:00,2.53
1997-02-14 00:00:00,2.3
1997-02-21 00:00:00,1.91
1997-02-28 00:00:00,1.82
1997-03-07 00:00:00,1.86
1997-03-14 00:00:00,1.96
1997-03-21 00:00:00,1.91
1997-03-28 00:00:00,1.84
1997-04-04 00:00:00,1.88
1997-04-11 00:00:00,1.98
1997-04-18 00:00:00,2.04
1997-04-25 00:00:00,2.14
1997-05-02 00:00:00,2.15
1997-05-09 00:00:00,2.29
1997-05-16 00:00:00,2.22
1997-05-23 00:00:00,2.22
1997-05-30 00:00:00,2.28
1997-06-06 00:00:00,2.17
1997-06-13 00:00:00,2.16
1997-06-20 00:00:00,2.22
1997-06-27 00:00:00,2.27
1997-07-04 00:00:00,2.15
1997-07-11 00:00:00,2.15
1997-07-18 00:00:00,2.24
1997-07-25 00:00:00,2.2
1997-08-01 00:00:00,2.22
1997-08-08 00:00:00,2.37
1997-08-15 00:00:00,2.53
1997-08-22 00:00:00,2.54
1997-08-29 00:00:00,2.58
1997-09-05 00:00:00,2.77
1997-09-12 00:00:00,2.76
1997-09-19 00:00:00,2.85
1997-09-26 00:00:00,3.08
1997-10-03 00:00:00,3
1997-10-10 00:00:00,2.83
1997-10-17 00:00:00,2.89
1997-10-24 00:00:00,3.21
1997-10-31 00:00:00,3.42
1997-11-07 00:00:00,3.16
1997-11-14 00:00:00,3.25
1997-11-21 00:00:00,2.89
1997-11-28 00:00:00,2.55
1997-12-05 00:00:00,2.51
1997-12-12 00:00:00,2.34
1997-12-19 00:00:00,2.34
1997-12-26 00:00:00,2.21
1998-01-02 00:00:00,2.26
1998-01-09 00:00:00,2.11
1998-01-16 00:00:00,2.05
1998-01-23 00:00:00,2.11
1998-01-30 00:00:00,2.08
1998-02-06 00:00:00,2.28
1998-02-13 00:00:00,2.21
1998-02-20 00:00:00,2.2
1998-02-27 00:00:00,2.22
1998-03-06 00:00:00,2.18
1998-03-13 00:00:00,2.22
1998-03-20 00:00:00,2.23
1998-03-27 00:00:00,2.3
1998-04-03 00:00:00,2.41
1998-04-10 00:00:00,2.57
1998-04-17 00:00:00,2.46
1998-04-24 00:00:00,2.4
1998-05-01 00:00:00,2.23
1998-05-08 00:00:00,2.14
1998-05-15 00:00:00,2.2
1998-05-22 00:00:00,2.13
1998-05-29 00:00:00,2.09
1998-06-05 00:00:00,2.1
1998-06-12 00:00:00,2
1998-06-19 00:00:00,2.11
1998-06-26 00:00:00,2.38
1998-07-03 00:00:00,2.39
1998-07-10 00:00:00,2.36
1998-07-17 00:00:00,2.21
1998-07-24 00:00:00,2.05
1998-07-31 00:00:00,1.95
1998-08-07 00:00:00,1.86
1998-08-14 00:00:00,1.85
1998-08-21 00:00:00,1.93
1998-08-28 00:00:00,1.81
1998-09-04 00:00:00,1.72
1998-09-11 00:00:00,1.83
1998-09-18 00:00:00,2.07
1998-09-25 00:00:00,2.24
1998-10-02 00:00:00,2.2
1998-10-09 00:00:00,1.99
1998-10-16 00:00:00,1.73
1998-10-23 00:00:00,1.9
1998-10-30 00:00:00,1.89
1998-11-06 00:00:00,2.11
1998-11-13 00:00:00,2.27
1998-11-20 00:00:00,2.12
1998-11-27 00:00:00,2.08
1998-12-04 00:00:00,1.34
1998-12-11 00:00:00,1.6
1998-12-18 00:00:00,1.93
1998-12-25 00:00:00,1.95
1999-01-01 00:00:00,1.84
1999-01-08 00:00:00,2
1999-01-15 00:00:00,1.81
1999-01-22 00:00:00,1.81
1999-01-29 00:00:00,1.76
1999-02-05 00:00:00,1.79
